Trade No,Cumulative PnL INR
1589,919297.5
1590,913840.5
1591,920917.5
1592,908749.5
1593,927477.0
1594,923934.0
1595,926293.5
1596,934228.5
1597,936408.0
1598,924055.5
1599,927516.0
1600,929472.0
1601,923776.5
1602,970374.0
1603,972285.0
1604,997689.0
1605,991947.0
1606,1026352.5
1607,1045050.0
1608,1066848.0
1609,1066150.5
1610,1060728.0
1611,1067790.0
1612,1065306.0
1613,1086670.5
1614,1085064.0
1615,1088239.5
1616,1093843.5
1617,1094686.5
1618,1094941.5
1619,1090666.5
1620,1111315.5
1621,1096186.5
1622,1100398.5
1623,1090983.0
1624,1094326.5
1625,1090359.0
1626,1080718.5
1627,1092931.5
1628,1082428.5
1629,1071864.0
1630,1063165.5
1631,1059664.5
1632,1058629.5
1633,1052913.0
1634,1066798.5
1635,1060873.5
1636,1055742.0
1637,1049236.5
1638,1050073.5
1639,1050033.0
1640,1063522.5
1641,1058793.0
1642,1055142.0
1643,1058823.0
1644,1049979.0
1645,1071870.0
1646,1075414.5
1647,1083492.0
1648,1109311.5
1649,1097271.0
1650,1098978.0
1651,1094071.5
1652,1089084.0
1653,1092627.0
1654,1085674.5
1655,1095501.0
1656,1086345.0
1657,1080099.0
1658,1085541.0
1659,1112856.0
1660,1126468.5
1661,1125574.5
1662,1122871.5
1663,1119081.0
1664,1121499.0
1665,1111288.5
1666,1107696.0
1667,1101115.5
1668,1101361.5
1669,1120662.0
1670,1139125.5
1671,1140969.0
1672,1161760.5
1673,1154680.5
1674,1150999.5
1675,1143036.0
1676,1152663.0
1677,1145824.5
1678,1167661.5
1679,1188108.0
1680,1178413.5
1681,1164118.5
1682,1152456.0
1683,1145590.5
1684,1139911.5
1685,1151682.0
1686,1146691.5
1687,1149870.0
1688,1144834.5
1689,1161355.5
1690,1167451.5
1691,1166949.0
1692,1162540.5
1693,1160212.5
1694,1160874.0
1695,1162903.5
1696,1159266.0
1697,1153645.5
1698,1150378.5
1699,1186867.5
1700,1180933.5
1701,1188115.5
1702,1213063.5
1703,1213717.5
1704,1208451.0
1705,1204870.5
1706,1236754.5
1707,1231248.0
1708,1230264.0
1709,1222644.0
1710,1233840.0
1711,1231369.5
1712,1244596.5
1713,1256487.0
1714,1264732.5
1715,1273659.0
1716,1309270.5
1717,1309387.5
1718,1303579.5
1719,1293793.5
1720,1283512.5
1721,1289167.5
1722,1300354.5
1723,1308940.5
1724,1301775.0
1725,1296334.5
1726,1290415.5
1727,1292443.5
1728,1337469.0
1729,1332034.5
1730,1359715.5
1731,1340164.5
1732,1379191.5
1733,1372315.5
1734,1368508.5
1735,1363990.5
1736,1356886.5
1737,1366455.0
1738,1382667.0
1739,1372327.5
1740,1381044.0
1741,1393512.0
1742,1394047.5
1743,1383349.5
1744,1373508.0
1745,1363036.5
1746,1378699.5
1747,1398187.5
1748,1411275.0
1749,1417699.5
1750,1421232.0
1751,1417902.0
1752,1417774.5
1753,1416094.5
1754,1427763.0
1755,1421385.0
1756,1428582.0
1757,1432608.0
1758,1433640.0
1759,1424427.0
1760,1419343.5
1761,1420192.5
1762,1423351.5
1763,1418233.5
1764,1414471.5
1765,1415695.5
1766,1405183.5
1767,1432686.0
1768,1484013.0
1769,1478758.5
1770,1474669.5
1771,1472808.0
1772,1471467.0
1773,1466667.0
1774,1463416.5
1775,1457511.0
1776,1452528.0
1777,1451217.0
1778,1464471.0
1779,1453546.5
1780,1450344.0
1781,1445349.0
1782,1441045.5
1783,1439332.5
1784,1448365.5
1785,1444624.5
1786,1443372.0
1787,1445601.0
1788,1438360.5
1789,1431318.0
1790,1421071.5
1791,1417992.0
1792,1408696.5
1793,1403704.5
1794,1415626.5
1795,1406544.0
1796,1405650.0
1797,1440072.0
1798,1427073.0
1799,1410771.0
1800,1398577.5
1801,1434447.0
1802,1449381.0
1803,1432750.5
1804,1533067.5
1805,1530324.0
1806,1566510.0
1807,1548838.5
1808,1536808.5
1809,1533162.0
1810,1534312.5
1811,1540533.0
1812,1532697.0
1813,1521618.0
1814,1524144.0
1815,1507438.5
1816,1526797.5
1817,1530498.0
1818,1520262.0
1819,1506208.5
1820,1499040.0
1821,1510270.5
1822,1498024.5
1823,1488079.5
1824,1475103.0
1825,1492059.0
