Type,Entry Time,Exit Time,Entry Price,Exit Price,Points,PnL INR,Cumulative PnL INR
LONG,2021-10-26 13:40:00+05:30,2021-10-27 14:15:00+05:30,18230.95,18268.2,37.25,2421.25,1229666.75
SHORT,2021-10-27 14:15:00+05:30,2021-10-29 10:40:00+05:30,18268.2,17898.7,369.5,24017.5,1253684.25
LONG,2021-10-29 10:40:00+05:30,2021-10-29 13:05:00+05:30,17898.7,17728.85,-169.85,-11040.25,1242644.0
SHORT,2021-10-29 13:05:00+05:30,2021-11-01 09:15:00+05:30,17728.85,17815.3,-86.45,-5619.25,1237024.75
LONG,2021-11-01 09:15:00+05:30,2021-11-02 10:35:00+05:30,17815.3,17874.25,58.95,3831.75,1240856.5
SHORT,2021-11-02 10:35:00+05:30,2021-11-03 09:15:00+05:30,17874.25,17968.25,-94.0,-6110.0,1234746.5
LONG,2021-11-03 09:15:00+05:30,2021-11-03 12:00:00+05:30,17968.25,17889.95,-78.3,-5089.5,1229657.0
SHORT,2021-11-03 12:00:00+05:30,2021-11-04 18:15:00+05:30,17889.95,17935.75,-45.8,-2977.0,1226680.0
LONG,2021-11-04 18:15:00+05:30,2021-11-08 09:20:00+05:30,17935.75,17865.6,-70.15,-4559.75,1222120.25
SHORT,2021-11-08 09:20:00+05:30,2021-11-08 12:05:00+05:30,17865.6,17974.4,-108.8,-7072.0,1215048.25
LONG,2021-11-08 12:05:00+05:30,2021-11-09 13:45:00+05:30,17974.4,18010.25,35.85,2330.25,1217378.5
SHORT,2021-11-09 13:45:00+05:30,2021-11-10 13:35:00+05:30,18010.25,18016.9,-6.65,-432.25,1216946.25
LONG,2021-11-10 13:35:00+05:30,2021-11-11 09:15:00+05:30,18016.9,17951.7,-65.2,-4238.0,1212708.25
SHORT,2021-11-11 09:15:00+05:30,2021-11-11 15:15:00+05:30,17951.7,17881.2,70.5,4582.5,1217290.75
LONG,2021-11-11 15:15:00+05:30,2021-11-15 11:40:00+05:30,17881.2,18102.75,221.55,14400.75,1231691.5
SHORT,2021-11-15 11:40:00+05:30,2021-11-16 12:15:00+05:30,18102.75,18089.7,13.05,848.25,1232539.75
LONG,2021-11-16 12:15:00+05:30,2021-11-16 14:10:00+05:30,18089.7,18068.5,-21.2,-1378.0,1231161.75
SHORT,2021-11-16 14:10:00+05:30,2021-11-17 10:35:00+05:30,18068.5,18017.95,50.55,3285.75,1234447.5
LONG,2021-11-17 10:35:00+05:30,2021-11-17 12:00:00+05:30,18017.95,17946.95,-71.0,-4615.0,1229832.5
SHORT,2021-11-17 12:00:00+05:30,2021-11-17 13:25:00+05:30,17946.95,17997.2,-50.25,-3266.25,1226566.25
LONG,2021-11-17 13:25:00+05:30,2021-11-17 14:45:00+05:30,17997.2,17939.8,-57.4,-3731.0,1222835.25
SHORT,2021-11-17 14:45:00+05:30,2021-11-18 13:20:00+05:30,17939.8,17775.85,163.95,10656.75,1233492.0
LONG,2021-11-18 13:20:00+05:30,2021-11-22 09:15:00+05:30,17775.85,17682.2,-93.65,-6087.25,1227404.75
